Category,X,Y
Residential,51,64
Residential,51,65
Residential,51,66
Residential,51,69
Residential,51,71
Residential,51,72
Residential,51,73
Residential,51,75
Residential,51,76
Residential,51,77
Residential,51,78
Residential,51,80
Residential,51,81
Residential,51,82
Residential,51,83
Residential,51,84
Residential,51,85
Residential,51,86
Residential,51,87
Residential,51,90
Residential,51,91
Residential,51,92
Residential,51,93
Residential,51,94
Residential,51,95
Residential,51,113
Residential,51,114
Residential,51,117
Residential,51,118
Residential,51,119
Residential,51,121
Residential,51,123
Residential,51,124
Residential,51,125
Residential,51,126
Residential,51,127
Residential,51,128
Residential,51,129
Residential,51,130
Residential,51,134
Residential,51,135
Residential,51,136
Residential,51,137
Residential,51,138
Residential,51,139
Residential,51,140
Residential,51,142
Residential,51,143
Residential,51,144
Residential,51,145
Residential,51,146
Residential,51,147
Residential,51,148
Residential,51,149
Residential,51,150
Residential,51,151
Residential,51,154
Residential,51,155
Residential,51,157
Residential,51,158
Residential,51,159
Residential,51,160
Residential,51,161
Residential,51,163
Residential,51,164
Residential,51,165
Residential,51,167
Residential,51,168
Residential,51,169
Residential,51,170
Residential,51,171
Residential,51,172
